Time,Position,Delta,,,,,,Velocity
821,56506,70,,16406.25,,,-3.583518918,1
822,56577,71,,16640.625,,,-4.276666077,1
823,56648,71,,16640.625,,,-4.276666077,1
824,56719,71,,16640.625,,,-4.276666077,1
825,56790,71,,16640.625,,,-4.276666077,1
826,56860,70,,16406.25,,,-3.583518918,1
827,56931,71,,16640.625,,,-4.276666077,1
828,57001,70,,16406.25,,,-3.583518918,1
829,57072,71,,16640.625,,,-4.276666077,1
830,57142,70,,16406.25,,,-3.583518918,1
831,57212,70,,16406.25,,,-3.583518918,1
832,57284,72,,16875,,,-21.24651409,1
833,57354,70,,16406.25,,,-3.583518918,1
834,57425,71,,16640.625,,,-4.276666077,1
835,57496,71,,16640.625,,,-4.276666077,1
836,57567,71,,16640.625,,,-4.276666077,1
837,57638,71,,16640.625,,,-4.276666077,1
838,57709,71,,16640.625,,,-4.276666077,1
839,57780,71,,16640.625,,,-4.276666077,1
840,57851,71,,16640.625,,,-4.276666077,1
841,57921,70,,16406.25,,,-3.583518918,1
842,57992,71,,16640.625,,,-4.276666077,1
843,58062,70,,16406.25,,,-3.583518918,1
844,58132,70,,16406.25,,,-3.583518918,1
845,58203,71,,16640.625,,,-4.276666077,1
846,58274,71,,16640.625,,,-4.276666077,1
847,58344,70,,16406.25,,,-3.583518918,1
848,58415,71,,16640.625,,,-4.276666077,1
849,58486,71,,16640.625,,,-4.276666077,1
850,58557,71,,16640.625,,,-4.276666077,1
851,58628,71,,16640.625,,,-4.276666077,1
852,58699,71,,16640.625,,,-4.276666077,1
853,58770,71,,16640.625,,,-4.276666077,1
854,58841,71,,16640.625,,,-4.276666077,1
855,58911,70,,16406.25,,,-3.583518918,1
856,58982,71,,16640.625,,,-4.276666077,1
857,59052,70,,16406.25,,,-3.583518918,1
858,59123,71,,16640.625,,,-4.276666077,1
859,59193,70,,16406.25,,,-3.583518918,1
860,59263,70,,16406.25,,,-3.583518918,1
861,59334,71,,16640.625,,,-4.276666077,1
862,59405,71,,16640.625,,,-4.276666077,1
863,59476,71,,16640.625,,,-4.276666077,1
864,59547,71,,16640.625,,,-4.276666077,1
865,59618,71,,16640.625,,,-4.276666077,1
866,59689,71,,16640.625,,,-4.276666077,1
867,59760,71,,16640.625,,,-4.276666077,1
868,59830,70,,16406.25,,,-3.583518918,1
869,59901,71,,16640.625,,,-4.276666077,1
870,59971,70,,16406.25,,,-3.583518918,1
871,60042,71,,16640.625,,,-4.276666077,1
872,60112,70,,16406.25,,,-3.583518918,1
873,60182,70,,16406.25,,,-3.583518918,1
874,60253,71,,16640.625,,,-4.276666077,1
875,60324,71,,16640.625,,,-4.276666077,1
876,60394,70,,16406.25,,,-3.583518918,1
877,60465,71,,16640.625,,,-4.276666077,1
878,60537,72,,16875,,,-21.24651409,1
879,60607,70,,16406.25,,,-3.583518918,1
880,60678,71,,16640.625,,,-4.276666077,1
881,60749,71,,16640.625,,,-4.276666077,1
882,60820,71,,16640.625,,,-4.276666077,1
883,60891,71,,16640.625,,,-4.276666077,1
884,60962,71,,16640.625,,,-4.276666077,1
885,61032,70,,16406.25,,,-3.583518918,1
886,61102,70,,16406.25,,,-3.583518918,1
887,61173,71,,16640.625,,,-4.276666077,1
888,61244,71,,16640.625,,,-4.276666077,1
889,61314,70,,16406.25,,,-3.583518918,1
890,61385,71,,16640.625,,,-4.276666077,1
891,61456,71,,16640.625,,,-4.276666077,1
892,61527,71,,16640.625,,,-4.276666077,1
893,61598,71,,16640.625,,,-4.276666077,1
894,61669,71,,16640.625,,,-4.276666077,1
895,61740,71,,16640.625,,,-4.276666077,1
896,61811,71,,16640.625,,,-4.276666077,1
897,61881,70,,16406.25,,,-3.583518918,1
898,61952,71,,16640.625,,,-4.276666077,1
899,62023,71,,16640.625,,,-4.276666077,1
900,62093,70,,16406.25,,,-3.583518918,1
901,62164,71,,16640.625,,,-4.276666077,1
902,62234,70,,16406.25,,,-3.583518918,1
903,62305,71,,16640.625,,,-4.276666077,1
904,62376,71,,16640.625,,,-4.276666077,1
905,62446,70,,16406.25,,,-3.583518918,1
906,62517,71,,16640.625,,,-4.276666077,1
907,62588,71,,16640.625,,,-4.276666077,1
908,62659,71,,16640.625,,,-4.276666077,1
909,62730,71,,16640.625,,,-4.276666077,1
910,62801,71,,16640.625,,,-4.276666077,1
911,62872,71,,16640.625,,,-4.276666077,1
912,62943,71,,16640.625,,,-4.276666077,1
913,63014,71,,16640.625,,,-4.276666077,1
914,63084,70,,16406.25,,,-3.583518918,1
915,63155,71,,16640.625,,,-4.276666077,1
916,63225,70,,16406.25,,,-3.583518918,1
917,63296,71,,16640.625,,,-4.276666077,1
918,63366,70,,16406.25,,,-3.583518918,1
919,63437,71,,16640.625,,,-4.276666077,1
920,63508,71,,16640.625,,,-4.276666077,1
921,63579,71,,16640.625,,,-4.276666077,1
922,63650,71,,16640.625,,,-4.276666077,1
923,63721,71,,16640.625,,,-4.276666077,1
924,63792,71,,16640.625,,,-4.276666077,1
925,63863,71,,16640.625,,,-4.276666077,1
926,63933,70,,16406.25,,,-3.583518918,1
927,64004,71,,16640.625,,,-4.276666077,1
928,64075,71,,16640.625,,,-4.276666077,1
929,64145,70,,16406.25,,,-3.583518918,1
930,64216,71,,16640.625,,,-4.276666077,1
931,64286,70,,16406.25,,,-3.583518918,1
932,64357,71,,16640.625,,,-4.276666077,1
933,64428,71,,16640.625,,,-4.276666077,1
934,64498,70,,16406.25,,,-3.583518918,1
935,64569,71,,16640.625,,,-4.276666077,1
936,64641,72,,16875,,,-21.24651409,1
937,64712,71,,16640.625,,,-4.276666077,1
938,64783,71,,16640.625,,,-4.276666077,1
939,64854,71,,16640.625,,,-4.276666077,1
940,64924,70,,16406.25,,,-3.583518918,1
941,64996,72,,16875,,,-21.24651409,1
942,65066,70,,16406.25,,,-3.583518918,1
943,65137,71,,16640.625,,,-4.276666077,1
944,65207,70,,16406.25,,,-3.583518918,1
945,65278,71,,16640.625,,,-4.276666077,1
946,65348,70,,16406.25,,,-3.583518918,1
947,65419,71,,16640.625,,,-4.276666077,1
948,65490,71,,16640.625,,,-4.276666077,1
949,65561,71,,16640.625,,,-4.276666077,1
950,65632,71,,16640.625,,,-4.276666077,1
951,65703,71,,16640.625,,,-4.276666077,1
952,65773,70,,16406.25,,,-3.583518918,1
953,65844,71,,16640.625,,,-4.276666077,1
954,65915,71,,16640.625,,,-4.276666077,1
955,65986,71,,16640.625,,,-4.276666077,1
956,66056,70,,16406.25,,,-3.583518918,1
957,66126,70,,16406.25,,,-3.583518918,1
958,66197,71,,16640.625,,,-4.276666077,1
959,66267,70,,16406.25,,,-3.583518918,1
960,66337,70,,16406.25,,,-3.583518918,1
961,66408,71,,16640.625,,,-4.276666077,1
962,66479,71,,16640.625,,,-4.276666077,1
963,66549,70,,16406.25,,,-3.583518918,1
964,66620,71,,16640.625,,,-4.276666077,1
965,66692,72,,16875,,,-21.24651409,1
966,66762,70,,16406.25,,,-3.583518918,1
967,66833,71,,16640.625,,,-4.276666077,1
968,66904,71,,16640.625,,,-4.276666077,1
969,66975,71,,16640.625,,,-4.276666077,1
970,67046,71,,16640.625,,,-4.276666077,1
971,67117,71,,16640.625,,,-4.276666077,1
972,67187,70,,16406.25,,,-3.583518918,1
973,67257,70,,16406.25,,,-3.583518918,1
974,67328,71,,16640.625,,,-4.276666077,1
975,67399,71,,16640.625,,,-4.276666077,1
976,67469,70,,16406.25,,,-3.583518918,1
977,67540,71,,16640.625,,,-4.276666077,1
978,67611,71,,16640.625,,,-4.276666077,1
979,67682,71,,16640.625,,,-4.276666077,1
980,67753,71,,16640.625,,,-4.276666077,1
981,67824,71,,16640.625,,,-4.276666077,1
982,67895,71,,16640.625,,,-4.276666077,1
983,67966,71,,16640.625,,,-4.276666077,1
984,68037,71,,16640.625,,,-4.276666077,1
985,68108,71,,16640.625,,,-4.276666077,1
986,68178,70,,16406.25,,,-3.583518918,1
987,68249,71,,16640.625,,,-4.276666077,1
988,68319,70,,16406.25,,,-3.583518918,1
989,68389,70,,16406.25,,,-3.583518918,1
990,68460,71,,16640.625,,,-4.276666077,1
991,68531,71,,16640.625,,,-4.276666077,1
992,68602,71,,16640.625,,,-4.276666077,1
993,68673,71,,16640.625,,,-4.276666077,1
994,68744,71,,16640.625,,,-4.276666077,1
995,68815,71,,16640.625,,,-4.276666077,1
996,68886,71,,16640.625,,,-4.276666077,1
997,68957,71,,16640.625,,,-4.276666077,1
998,69028,71,,16640.625,,,-4.276666077,1
